영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,23248368,121825,서울특별시 마포구 망원동 435-2 1층,서울특별시 마포구 방울내로7길 14 (망원동1층),서울 마포구 방울내로7길,3961,옥향루,U,2020.12.1 0:07,한식
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 363-5,서울특별시 마포구 잔다리로 6 23층 (서교동),서울 마포구 잔다리로,4041,옥희 서울홍대점,I,2021.12.1 22:06,한식
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 57-364,서울특별시 마포구 월드컵로23길 5 지1층 (망원동),서울 마포구 월드컵로23길,4012,온더페리,U,2020.12.5 23:01,기타
1,영업/정상,영업,,121869,서울특별시 마포구 연남동 566-60,서울특별시 마포구 연남로3길 7 지하1층 101호 (연남동),서울 마포구 연남로3길,3990,온기,I,2019.11.1 0:01,기타
1,영업/정상,영업,227135588,121805,서울특별시 마포구 공덕동 476번지 공덕파크자이  102동 9호 ,서울특별시 마포구 백범로 152 (공덕동 공덕파크자이  102동 9호),서울 마포구 백범로,4148,온다옴,I,2018.8.31 23:59,한식
1,영업/정상,영업,2232721892,121809,서울특별시 마포구 대흥동 194-2번지 1층 ,서울특별시 마포구 백범로 109 (대흥동1층),서울 마포구 백범로,4136,온달만두분식,I,2018.8.31 23:59,분식
1,영업/정상,영업,23345842,121895,서울특별시 마포구 서교동 407-25,서울특별시 마포구 잔다리로 9 1층 (서교동),서울 마포구 잔다리로,4049,온달집,U,2020.10.31 22:07,한식
1,영업/정상,영업,,121835,서울특별시 마포구 상암동 1596번지 상암DMC푸르지오시티 S-City 218~219호 ,서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티 S-City 218 219호 (상암동),서울 마포구 월드컵북로54길,3924,온돈부리,U,2019.8.31 2:40,일식
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 399-23번지 1층 ,서울특별시 마포구 양화로6길 65 1층 (서교동),서울 마포구 양화로6길,4047,온돌,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121898,서울특별시 마포구 동교동 197-40 지1층 1층,서울특별시 마포구 월드컵북로4길 95 지1층 1층 (동교동),서울 마포구 월드컵북로4길,3993,온미동,U,2020.12.4 23:06,기타
1,영업/정상,영업,,121828,서울특별시 마포구 상수동 145-13,서울특별시 마포구 와우산로 39-14 2층 (상수동),서울 마포구 와우산로,4049,온블랙94,U,2020.12.7 22:01,경양식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 387-15번지 ,서울특별시 마포구 동교로 262-10 지1층 B01호 (연남동),서울 마포구 동교로,3982,온정,I,2019.11.28 0:23,기타
1,영업/정상,영업,,121816,서울특별시 마포구 동교동 147-48,서울특별시 마포구 양화로23길 10-10 지1층 좌측호 (동교동),서울 마포구 양화로23길,3985,온정텐동,U,2020.12.7 23:05,일식
1,영업/정상,영업,,121835,서울특별시 마포구 상암동 1597 사보이시티디엠씨 지1층 B126호,서울특별시 마포구 월드컵북로54길 17 지1층 B126호 (상암동 사보이시티디엠씨),서울 마포구 월드컵북로54길,3924,온타이키친,U,2019.12.8 0:08,한식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 228-58,서울특별시 마포구 동교로38길 5 2층 (연남동),서울 마포구 동교로38길,3982,올더플레이트 연남점,U,2020.12.8 23:09,한식
1,영업/정상,영업,23327250,121840,서울특별시 마포구 서교동 395-65,서울특별시 마포구 독막로3길 35 2층 (서교동),서울 마포구 독막로3길,4044,올드타운 홍대점,U,2020.12.5 22:00,일식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 385-1번지 수목원3층 ,서울특별시 마포구 동교로46길 29 3층 (연남동 수목원),서울 마포구 동교로46길,3982,올드패션드,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 228-7번지 ,서울특별시 마포구 동교로 266-7 1층 (연남동),서울 마포구 동교로,3982,올디너리포차,I,2020.4.3 0:23,기타
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 385-4,서울특별시 마포구 동교로46길 25 1층 (연남동),서울 마포구 동교로46길,3982,올랑올랑,U,2020.12.4 22:01,일식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 224-18,서울특별시 마포구 동교로 282 1층 (연남동),서울 마포구 동교로,3981,올레쭈꾸미 2호점,I,2019.10.31 22:05,기타
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 328-62번지 지하1층 ,서울특별시 마포구 와우산로29길 14-19 (서교동 지하1층),서울 마포구 와우산로29길,4052,올리앤로렌스,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121819,서울특별시 마포구 동교동 200-25,서울특별시 마포구 동교로 199-1 1층 (동교동),서울 마포구 동교로,3993,올바른스시 홍대직영점,U,2020.12.9 0:02,일식
