영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,2231419027,121828,서울특별시 마포구 상수동 86-33,서울특별시 마포구 와우산로14길 12 가동 1층 (상수동),서울 마포구 와우산로14길,4067,가든포에트,U,2020.12.4 0:01,기타
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 88-16,서울특별시 마포구 광성로4길 11-10 지층 (신수동),서울 마포구 광성로4길,4096,포엔띠우,U,2019.12.7 0:08,기타
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 81-30,서울특별시 마포구 서강로16길 67 (신수동 1층),서울 마포구 서강로16길,4109,포옹남,U,2020.12.5 23:06,외국음식전문점(인도태국등)
1,영업/정상,영업,,121896,서울특별시 마포구 서교동 444-15번지 1층 ,서울특별시 마포구 동교로12길 12 1층 (서교동),서울 마포구 동교로12길,4029,포인트프레드릭,I,2018.12.20 2:20,기타
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 407-7 45 층,서울특별시 마포구 잔다리로 3 45층 (서교동),서울 마포구 잔다리로,4049,포차끝판왕 홍대점,U,2020.12.8 22:05,기타
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 363-28 2층,서울특별시 마포구 와우산로19길 5 (서교동2층),서울 마포구 와우산로19길,4041,포차천국  홍대점,U,2020.10.31 0:02,경양식
1,영업/정상,영업,,121815,서울특별시 마포구 도화동 538번지 성지빌딩 지하1층 3호,서울특별시 마포구 큰우물로 75 성지빌딩 지하1층 3호 (도화동),서울 마포구 큰우물로,4158,포체어스 마포공덕점,U,2019.7.3 2:40,기타
1,영업/정상,영업,,121845,서울특별시 마포구 성산동 200-33,서울특별시 마포구 월드컵북로27길 13 2층 일부호 (성산동),서울 마포구 월드컵북로27길,3948,포크돈까스,U,2020.10.31 22:06,한식
1,영업/정상,영업,,121819,서울특별시 마포구 동교동 203-18번지,서울특별시 마포구 월드컵북로4길 13 (동교동 1층),서울 마포구 월드컵북로4길,3992,포탈라레스토랑 홍대점,U,2019.12.6 0:05,정종/대포집/소주방
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 57-375,서울특별시 마포구 월드컵로23길 19 2층 (망원동),서울 마포구 월드컵로23길,4012,포트앤나달,U,2020.12.7 22:00,경양식
1,영업/정상,영업,,121822,서울특별시 마포구 망원동 410-26,서울특별시 마포구 포은로 97-1 1층 일부호 (망원동),서울 마포구 포은로,4009,포페(POFE),U,2020.12.8 23:09,기타
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 377-1 마포로얄프라자,서울특별시 마포구 월드컵로 87 마포로얄프라자 1층 110호 (망원동),서울 마포구 월드컵로,4012,포포야,U,2020.10.30 22:07,기타
1,영업/정상,영업,23236711,121869,서울특별시 마포구 연남동 561-2번지 1층일부 ,서울특별시 마포구 동교로27길 82 (연남동 1층일부),서울 마포구 동교로27길,3988,포포야어묵,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121846,서울특별시 마포구 성산동 208-9번지 ,서울특별시 마포구 월드컵북로 82 (성산동 1층 일부),서울 마포구 월드컵북로,3978,포항물회,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121869,서울특별시 마포구 연남동 504-24번지 ,서울특별시 마포구 동교로27길 92 지1층 (연남동),서울 마포구 동교로27길,3988,폴리곤,I,2020.3.13 0:23,기타
1,영업/정상,영업,,121888,서울특별시 마포구 합정동 437-9,서울특별시 마포구 포은로 40 1층 (합정동),서울 마포구 포은로,4021,폴베리,I,2019.12.6 22:02,외국음식전문점(인도태국등)
1,영업/정상,영업,,121821,서울특별시 마포구 망원동 394-91,서울특별시 마포구 포은로 61 2층 (망원동),서울 마포구 포은로,4017,푸드실방,U,2020.12.4 22:01,경양식
1,영업/정상,영업,,121010,서울특별시 마포구 아현동 801번지 공덕자이아파트 상가 ,서울특별시 마포구 마포대로24길 4 공덕자이아파트 상가 1층 101호 (아현동),서울 마포구 마포대로24길,4202,푸라닭치킨 공덕점,U,2020.5.13 2:40,호프/통닭
1,영업/정상,영업,,121813,서울특별시 마포구 도화동 250-10,서울특별시 마포구 도화길 6-3 1층 (도화동),서울 마포구 도화길,4173,푸라닭치킨 마포역점,U,2020.12.8 0:06,호프/통닭
1,영업/정상,영업,23329209,121823,서울특별시 마포구 망원동 423-17,서울특별시 마포구 망원로 75-1 (망원동 1층일부),서울 마포구 망원로,3964,푸라닭치킨 망원점,U,2020.12.9 0:08,호프/통닭
1,영업/정상,영업,,121841,서울특별시 마포구 서교동 494,서울특별시 마포구 양화로 72 1층 125호 (서교동),서울 마포구 양화로,4044,푸라닭치킨 합정점,U,2020.10.30 23:06,기타
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 93-102번지 신촌숲아이파크 ,서울특별시 마포구 광성로 17 상가동 111호 (신수동 신촌숲아이파크),서울 마포구 광성로,4094,푸라닭치킨 신수점,I,2020.5.16 0:23,기타
1,영업/정상,영업,,121807,서울특별시 마포구 노고산동 49-32번지 2층 ,서울특별시 마포구 신촌로14길 12 2층 (노고산동),서울 마포구 신촌로14길,4057,푸른굴뚝,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121807,서울특별시 마포구 노고산동 56-43번지 ,서울특별시 마포구 신촌로12다길 6 (노고산동 1층 일부),서울 마포구 신촌로12다길,4057,푸른달,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121807,서울특별시 마포구 노고산동 57-44번지 ,서울특별시 마포구 신촌로18길 21 (노고산동 1층 일부),서울 마포구 신촌로18길,4058,여수집,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 2-117번지 ,서울특별시 마포구 성암로15길 43 (상암동 1층),서울 마포구 성암로15길,3930,푸짐한왕뼈,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121904,서울특별시 마포구 상암동 1622번지 ,서울특별시 마포구 성암로 189 (상암동 중소기업DMC타워 2층 일부),서울 마포구 성암로,3929,푸차이,I,2018.8.31 23:59,중국식
1,영업/정상,영업,,121838,서울특별시 마포구 서교동 358-103,서울특별시 마포구 홍익로 13-4 (서교동),서울 마포구 홍익로,4040,풀리너마이트,U,2020.12.8 22:09,기타
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 223-26번지 ,서울특별시 마포구 동교로51안길 16 1층 (연남동),서울 마포구 동교로51안길,3980,풀스트릿,I,2019.10.20 0:22,기타
1,영업/정상,영업,23387857,121882,서울특별시 마포구 창전동 436-11번지 ,서울특별시 마포구 와우산로 108 (창전동),서울 마포구 와우산로,4059,풀잎향기,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121818,서울특별시 마포구 동교동 174-8,서울특별시 마포구 신촌로2길 5-13 1층 (동교동),서울 마포구 신촌로2길,4056,풍년한식,U,2020.10.30 22:02,한식
1,영업/정상,영업,27162798,121815,서울특별시 마포구 도화동 538-0번지 (성지 지1층11호) ,서울특별시 마포구 큰우물로 75 (도화동(성지 지1층11호)),서울 마포구 큰우물로,4158,풍년식당,I,2018.8.31 23:59,한식
1,영업/정상,영업,23365048,121807,서울특별시 마포구 노고산동 54-10번지 ,서울특별시 마포구 신촌로12가길 30-4 (노고산동),서울 마포구 신촌로12가길,4057,풍년식당,I,2018.8.31 23:59,한식
1,영업/정상,영업,27196529,121853,서울특별시 마포구 신공덕동 139-9번지 ,서울특별시 마포구 임정로15길 9 (신공덕동),서울 마포구 임정로15길,4190,풍년식당,I,2018.8.31 23:59,한식
1,영업/정상,영업,27110616,121810,서울특별시 마포구 대흥동 337-22번지 ,서울특별시 마포구 대흥로 54 (대흥동),서울 마포구 대흥로,4159,풍년식당,U,2018.9.21 23:59,한식
1,영업/정상,영업,23758339,121849,서울특별시 마포구 성산동 533-1번지 ,서울특별시 마포구 월드컵로 235 (성산동 다농마트 D-12),서울 마포구 월드컵로,3901,풍년식당,I,2018.8.31 23:59,한식
1,영업/정상,영업,23225818,121865,서울특별시 마포구 연남동 228-21번지 ,서울특별시 마포구 동교로 264 (연남동 지하1층),서울 마포구 동교로,3982,풍년식당,I,2018.8.31 23:59,한식
1,영업/정상,영업,23220096,121841,서울특별시 마포구 서교동 449-4번지 1층 ,서울특별시 마포구 월드컵북로 47 (서교동1층),서울 마포구 월드컵북로,4000,풍년식당,I,2018.8.31 23:59,한식
1,영업/정상,영업,27049868,121718,서울특별시 마포구 공덕동 417-2번지 풍림빌딩 208동 ,서울 마포구 마포대로 127,서울 마포구 마포대로,,풍림,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 402-13,서울특별시 마포구 어울마당로5길 7 2층 (서교동),서울 마포구 어울마당로5길,4048,풍암정,U,2021.11.30 22:03,기타
1,영업/정상,영업,,121835,서울특별시 마포구 상암동 1516번지 지하1층 ,서울특별시 마포구 월드컵북로42나길 24 (상암동지하1층),서울 마포구 월드컵북로42나길,3930,풍어,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 360-23번지 ,서울특별시 마포구 와우산로18길 6 (서교동),서울 마포구 와우산로18길,4067,풍작,I,2018.8.31 23:59,호프/통닭
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 15-29번지 1층 ,서울특별시 마포구 월드컵북로48길 19 1층 (상암동),서울 마포구 월드컵북로48길,3927,풍조미역 상암점,U,2019.4.4 2:40,한식
1,영업/정상,영업,27181489,121876,서울특별시 마포구 용강동 494-29번지 1층 ,서울특별시 마포구 토정로 253 (용강동),서울 마포구 토정로,4159,풍천장어,I,2018.8.31 23:59,한식
1,영업/정상,영업,23328361,121869,서울특별시 마포구 연남동 568-25번지 1층 ,서울특별시 마포구 동교로27길 39 (연남동1층),서울 마포구 동교로27길,3991,풍천장어 연남점,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121881,서울특별시 마포구 창전동 302번지 ,서울특별시 마포구 독막로 147-6 (창전동 104호),서울 마포구 독막로,4069,풍태,U,2019.8.2 2:40,중국식
1,영업/정상,영업,23354764,121885,서울특별시 마포구 합정동 383-9번지 1F ,서울특별시 마포구 월드컵로1길 7 (합정동1F),서울 마포구 월드컵로1길,4027,퓨전선술집,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121828,서울특별시 마포구 상수동 144-1번지 ,서울특별시 마포구 와우산로11길 9-9 1층 (상수동),서울 마포구 와우산로11길,4049,프라하펍,I,2019.5.12 2:20,기타
1,영업/정상,영업,,121898,서울특별시 마포구 동교동 197-25번지 ,서울특별시 마포구 월드컵북로6길 82 (동교동 1층),서울 마포구 월드컵북로6길,3993,부부드꼼뜨와,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121892,서울특별시 마포구 창전동 444 서강쌍용예가,서울특별시 마포구 서강로 55 서강쌍용예가 2단지 내 상가 1층 108호 (창전동),서울 마포구 서강로,4069,프랭크버거 마포광흥창역점,U,2021.11.30 21:00,기타
1,영업/정상,영업,,121812,서울특별시 마포구 도화동 179-3,서울특별시 마포구 도화길 27 1층 (도화동),서울 마포구 도화길,4168,프랭크버거 서울도화점,U,2020.10.31 22:01,기타
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 88-9,서울특별시 마포구 광성로 42 1층 (신수동),서울 마포구 광성로,4096,프랭크버거 서강대점,U,2020.12.4 22:01,기타
1,영업/정상,영업,,121845,서울특별시 마포구 성산동 200-51,서울특별시 마포구 월드컵북로 185 1층 (성산동),서울 마포구 월드컵북로,3947,프레드피자 마포구청점,I,2020.11.1 22:09,기타
1,영업/정상,영업,,121842,서울특별시 마포구 서교동 468-19번지 아트루 ,서울특별시 마포구 잔다리로 101-6 아트루 1층 (서교동),서울 마포구 잔다리로,4003,프레쉬 엔지니어드,I,2020.2.27 0:23,기타
1,영업/정상,영업,,121818,서울특별시 마포구 동교동 176-12,서울특별시 마포구 신촌로4길 22-22 1층 (동교동),서울 마포구 신촌로4길,4056,프레시스토어 홍대점,I,2020.12.8 21:00,한식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 390-39,서울특별시 마포구 동교로38길 33-10 지1층 B02호 (연남동),서울 마포구 동교로38길,3982,프롬더맘,U,2019.10.30 21:01,기타
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 57-187,서울특별시 마포구 월드컵로13길 55-5 1층 (망원동),서울 마포구 월드컵로13길,4014,프롬하노이fromhanoi,U,2021.11.30 22:06,외국음식전문점(인도태국등)
1,영업/정상,영업,,121885,서울특별시 마포구 합정동 386-40번지 2층 ,서울특별시 마포구 양화로3길 37-1 2층 (합정동),서울 마포구 양화로3길,4025,포차프리,I,2018.8.31 23:59,통닭(치킨)
1,영업/정상,영업,23249846,121837,서울특별시 마포구 서교동 346-47번지 외1 ,서울특별시 마포구 와우산로23길 44 (서교동외1),서울 마포구 와우산로23길,4055,프리모바치오바치 홍대본점,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 19-12번지 ,서울특별시 마포구 매봉산로2길 78 (상암동 나동 1층),서울 마포구 매봉산로2길,3930,프리모파스토,I,2018.8.31 23:59,경양식
