영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,,121822,서울특별시 마포구 망원동 411-22번지 ,서울특별시 마포구 망원로8길 26 1층 (망원동),서울 마포구 망원로8길,4010,무침프로젝트,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121893,서울특별시 마포구 서교동 369-3번지 성화빌딩 ,서울특별시 마포구 양화로16길 26 성화빌딩 2층 (서교동),서울 마포구 양화로16길,4039,무타리,I,2019.7.6 2:21,기타
1,영업/정상,영업,231428088,121817,서울특별시 마포구 동교동 163-6,서울특별시 마포구 어울마당로 111-1 (동교동 2층),서울 마포구 어울마당로,4050,무한리필 돼지갈비,U,2020.10.30 22:00,한식
1,영업/정상,영업,2231429991,121817,서울특별시 마포구 동교동 163-9번지 ,서울특별시 마포구 홍익로6길 10 (동교동 지하1층),서울 마포구 홍익로6길,4050,무한삼겹고고고,I,2018.8.31 23:59,통닭(치킨)
1,영업/정상,영업,27017399,121803,서울특별시 마포구 공덕동 255-23번지 ,서울특별시 마포구 만리재로1길 7 (공덕동),서울 마포구 만리재로1길,4213,무한장어,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121861,서울특별시 마포구 아현동 437-3 고려아카데미텔,서울특별시 마포구 마포대로 196 고려아카데미텔 지1층 11-2호 (아현동),서울 마포구 마포대로,4206,묵은김치찜전문점팔도돼지,U,2021.12.1 22:06,한식
1,영업/정상,영업,23373415,121821,서울특별시 마포구 망원동 395-4,서울특별시 마포구 포은로 75 (망원동),서울 마포구 포은로,4017,묵을래,U,2019.10.31 23:09,호프/통닭
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 385-12번지 ,서울특별시 마포구 동교로46길 21 2층 (연남동),서울 마포구 동교로46길,3982,문 MOON,I,2018.10.7 2:37,경양식
1,영업/정상,영업,27163735,121875,서울특별시 마포구 용강동 40-1번지 ,서울특별시 마포구 토정로37길 3 (용강동),서울 마포구 토정로37길,4166,문가네 정육식당 마포역점,U,2019.8.24 2:40,일식
1,영업/정상,영업,,121897,서울특별시 마포구 합정동 369-18번지 성우맨션 ,서울특별시 마포구 토정로 27-1 성우맨션 1층일부 (합정동),서울 마포구 토정로,4083,문데이,I,2018.8.31 23:59,경양식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 23-6번지 ,서울특별시 마포구 매봉산로2길 77 101호 (상암동),서울 마포구 매봉산로2길,3930,문득,I,2019.9.26 2:22,기타
1,영업/정상,영업,,121855,서울특별시 마포구 신수동 190번지 성원아파트 101동 상가 110호,서울특별시 마포구 독막로28길 7 110호 (신수동성원아파트 101동 상가),서울 마포구 독막로28길,4090,문래돼지불백,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121868,서울특별시 마포구 연남동 487-135,서울특별시 마포구 월드컵북로8길 19 (연남동 1층),서울 마포구 월드컵북로8길,3986,문부터,U,2019.11.1 23:06,호프/통닭
