영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,,121816,서울특별시 마포구 동교동 148-9,서울특별시 마포구 양화로23길 28 3층 (동교동),서울 마포구 양화로23길,3985,비포블루밍,I,2019.11.1 23:01,기타,
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 363-29 1층,서울특별시 마포구 잔다리로 4 1층 (서교동),서울 마포구 잔다리로,4041,비포선라이즈포차,U,2019.10.31 22:01,기타,
1,영업/정상,영업,2231414538,121837,서울특별시 마포구 서교동 363-20번지 ,서울특별시 마포구 와우산로19길 21 (서교동 1층),서울 마포구 와우산로19길,4041,빅마마삐삐,I,2018.8.31 23:59,까페,
1,영업/정상,영업,,121897,서울특별시 마포구 합정동 368-3번지 1층 ,서울특별시 마포구 토정로 35-1 1층 (합정동),서울 마포구 토정로,4083,빈브라더스 합정점,I,2018.8.31 23:59,까페,
1,영업/정상,영업,,121816,서울특별시 마포구 동교동 150-9번지 12 ,서울특별시 마포구 동교로30길 16 12층 (동교동),서울 마포구 동교로30길,3985,빌라더다이닝,U,2020.2.9 2:40,경양식,
1,영업/정상,영업,,121888,서울특별시 마포구 합정동 472 마포 한강 푸르지오,서울특별시 마포구 월드컵로1길 14 지하2층 B202호 (합정동 마포 한강 푸르지오),서울 마포구 월드컵로1길,4024,빕스 합정역점,U,2020.12.3 23:06,패밀리레스트랑,
1,영업/정상,영업,23922639,121862,서울특별시 마포구 아현동 613-6번지 제3호 ,서울특별시 마포구 마포대로 211 (아현동 제3호),서울 마포구 마포대로,4117,빙수네삼겹살,I,2018.8.31 23:59,한식,
1,영업/정상,영업,264076064,121868,서울특별시 마포구 연남동 487-105번지 1층 ,서울특별시 마포구 성미산로17길 4 1층 (연남동),서울 마포구 성미산로17길,3977,빠끼또,I,2018.8.31 23:59,까페,
1,영업/정상,영업,,121050,서울특별시 마포구 마포동 388-5 아리수 빌딩,서울특별시 마포구 마포대로4다길 31 아리수 빌딩 3층 303호 (마포동),서울 마포구 마포대로4다길,4178,빠네돌체,U,2020.12.5 22:06,경양식,
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 400-22번지 ,서울특별시 마포구 어울마당로5길 29 (서교동 1층),서울 마포구 어울마당로5길,4047,빠넬로,I,2018.8.31 23:59,경양식,
